"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"301","Down",NA,"Cladocopium_Davies_comp115500_c0_seq1_Symbiont"
"302","Down",NA,"Cladocopium_Davies_comp115526_c0_seq1_Symbiont"
"303","Down",NA,"Cladocopium_Davies_comp115540_c0_seq2_Symbiont"
"304","Down",NA,"Cladocopium_Davies_comp115548_c0_seq1_Symbiont"
"305","Down",NA,"Cladocopium_Davies_comp115567_c0_seq2_Symbiont"
"306","Down",NA,"Cladocopium_Davies_comp115578_c0_seq1_Symbiont"
"307","Down",NA,"Cladocopium_Davies_comp115579_c0_seq1_Symbiont"
"308","Down",NA,"Cladocopium_Davies_comp115581_c0_seq1_Symbiont"
"309","Down",NA,"Cladocopium_Davies_comp115583_c0_seq1_Symbiont"
"310","Down",NA,"Cladocopium_Davies_comp115584_c0_seq1_Symbiont"
"311","Down",NA,"Cladocopium_Davies_comp115587_c0_seq1_Symbiont"
"312","Down",NA,"Cladocopium_Davies_comp115592_c0_seq1_Symbiont"
"313","Down",NA,"Cladocopium_Davies_comp115593_c0_seq1_Symbiont"
"314","Down",NA,"Cladocopium_Davies_comp115594_c0_seq1_Symbiont"
"315","Down",NA,"Cladocopium_Davies_comp115596_c0_seq2_Symbiont"
"316","Down",NA,"Cladocopium_Davies_comp115598_c0_seq1_Symbiont"
"317","Down",NA,"Cladocopium_Davies_comp115599_c0_seq1_Symbiont"
"318","Down",NA,"Cladocopium_Davies_comp115605_c0_seq1_Symbiont"
"319","Down",NA,"Cladocopium_Davies_comp115610_c0_seq1_Symbiont"
"320","Down",NA,"Cladocopium_Davies_comp115615_c0_seq1_Symbiont"
"321","Down",NA,"Cladocopium_Davies_comp115623_c0_seq1_Symbiont"
"322","Down",NA,"Cladocopium_Davies_comp115626_c0_seq1_Symbiont"
"323","Down",NA,"Cladocopium_Davies_comp115631_c0_seq1_Symbiont"
"324","Down",NA,"Cladocopium_Davies_comp115639_c0_seq1_Symbiont"
"325","Down",NA,"Cladocopium_Davies_comp115640_c0_seq1_Symbiont"
"326","Down",NA,"Cladocopium_Davies_comp115642_c0_seq1_Symbiont"
"327","Down",NA,"Cladocopium_Davies_comp115646_c0_seq1_Symbiont"
"328","Down",NA,"Cladocopium_Davies_comp115651_c0_seq1_Symbiont"
"329","Down",NA,"Cladocopium_Davies_comp115655_c0_seq1_Symbiont"
"330","Down",NA,"Cladocopium_Davies_comp115656_c0_seq1_Symbiont"
"331","Down",NA,"Cladocopium_Davies_comp115668_c0_seq1_Symbiont"
"332","Down",NA,"Cladocopium_Davies_comp115670_c0_seq1_Symbiont"
"333","Down",NA,"Cladocopium_Davies_comp115671_c0_seq1_Symbiont"
"334","Down",NA,"Cladocopium_Davies_comp115672_c0_seq1_Symbiont"
"335","Down",NA,"Cladocopium_Davies_comp115673_c0_seq1_Symbiont"
"336","Down",NA,"Cladocopium_Davies_comp115679_c0_seq1_Symbiont"
"337","Down",NA,"Cladocopium_Davies_comp115683_c0_seq2_Symbiont"
"338","Down",NA,"Cladocopium_Davies_comp115688_c0_seq1_Symbiont"
"339","Down",NA,"Cladocopium_Davies_comp115690_c0_seq1_Symbiont"
"340","Down",NA,"Cladocopium_Davies_comp115697_c0_seq1_Symbiont"
"341","Down",NA,"Cladocopium_Davies_comp115698_c0_seq1_Symbiont"
"342","Down",NA,"Cladocopium_Davies_comp115705_c0_seq1_Symbiont"
"343","Down",NA,"Cladocopium_Davies_comp115717_c0_seq1_Symbiont"
"344","Down",NA,"Cladocopium_Davies_comp115721_c0_seq1_Symbiont"
"345","Down",NA,"Cladocopium_Davies_comp115723_c0_seq1_Symbiont"
