Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	PropQualAligned
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PC_376_N_Sid_yr2_R1_nof_hybridref.sam	14954687	5764	9737342	5217345	3899315	1318030	5155498	0.345
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_331_C_Sid_yr2_R1_nof_hybridref.sam	9988745	24533	6338762	3649983	2265452	1384531	3643019	0.365
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_332_La_Sid_yr2_R1_nof_hybridref.sam	26221047	43369	14237120	11983927	7847601	4136326	11964445	0.456
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_333_N_Sid_yr2_R1_nof_hybridref.sam	12595614	22648	5095589	7500025	6199518	1300507	7491091	0.595
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_334_C_Sid_yr2_R1_nof_hybridref.sam	21695544	43976	12595702	9099842	5613193	3486649	9086647	0.419
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_335_La_Sid_yr2_R1_nof_hybridref.sam	11553858	30207	5633695	5920163	4302384	1617779	5886640	0.509
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_336_N_Sid_yr2_R1_nof_hybridref.sam	18116706	5804	9045482	9071224	7919628	1151596	9026097	0.498
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_337_C_Sid_yr2_R1_nof_hybridref.sam	24598632	39558	13690050	10908582	7036354	3872228	10895502	0.443
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_338_La_Sid_yr2_R1_nof_hybridref.sam	8123485	22660	2075048	6048437	4669294	1379143	6043018	0.744
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_339_N_Sid_yr2_R1_nof_hybridref.sam	15905327	37905	6427057	9478270	7547430	1930840	9315950	0.586
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_340_C_Sid_yr2_R1_nof_hybridref.sam	15096096	30971	8175152	6920944	4609447	2311497	6837034	0.453
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_341_La_Sid_yr2_R1_nof_hybridref.sam	21244040	41266	12000461	9243579	5723614	3519965	9231395	0.435
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_342_N_Sid_yr2_R1_nof_hybridref.sam	21858803	39437	9859042	11999761	9092981	2906780	11940074	0.546
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_343_C_Sid_yr2_R1_nof_hybridref.sam	21686533	36509	11628569	10057964	6617927	3440037	10047396	0.463
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_344_La_Sid_yr2_R1_nof_hybridref.sam	17967856	34127	9592761	8375095	5749435	2625660	8365822	0.466
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_345_N_Sid_yr2_R1_nof_hybridref.sam	20690146	45892	11168389	9521757	6542010	2979747	9511283	0.460
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_347_La_Sid_yr2_R1_nof_hybridref.sam	32068303	38689	17184162	14884141	9854293	5029848	14869540	0.464
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/PO_348_N_Sid_yr2_R1_nof_hybridref.sam	29174979	34497	15783362	13391617	8826799	4564818	13375069	0.458
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_003_C_Sid_yr2_R1_nof_hybridref.sam	16472149	36781	8887387	7584762	5036870	2547892	7573803	0.460
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_004_La_Sid_yr2_R1_nof_hybridref.sam	25132618	44536	14095990	11036628	6793522	4243106	11018579	0.438
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_005_N_Sid_yr2_R1_nof_hybridref.sam	23062469	45109	12686938	10375531	6509978	3865553	10360842	0.449
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_009_C_Sid_yr2_R1_nof_hybridref.sam	23471343	42116	13254138	10217205	6155493	4061712	10207103	0.435
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_010_La_Sid_yr2_R1_nof_hybridref.sam	23495045	42977	13258837	10236208	6476268	3759940	10220173	0.435
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_011_N_Sid_yr2_R1_nof_hybridref.sam	20959706	40954	11450734	9508972	6152732	3356240	9494641	0.453
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_012_C_Sid_yr2_R1_nof_hybridref.sam	21220415	63462	12330955	8889460	5250854	3638606	8870920	0.418
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_013_La_Sid_yr2_R1_nof_hybridref.sam	23991463	47549	14470130	9521333	5662924	3858409	9501666	0.396
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_014_N_Sid_yr2_R1_nof_hybridref.sam	20793000	8970	15050218	5742782	3925046	1817736	5727945	0.275
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_015_C_Sid_yr2_R1_nof_hybridref.sam	23781995	46284	12755172	11026823	7243640	3783183	11003090	0.463
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_017_N_Sid_yr2_R1_nof_hybridref.sam	22342053	31539	13764456	8577597	5810966	2766631	8558777	0.383
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_018_C_Sid_yr2_R1_nof_hybridref.sam	5439641	11981	1193725	4245916	3828261	417655	4183673	0.769
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_019_La_Sid_yr2_R1_nof_hybridref.sam	28565973	42238	16062503	12503470	7686176	4817294	12480244	0.437
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_020_N_Sid_yr2_R1_nof_hybridref.sam	16910793	76233	8963366	7947427	4904600	3042827	7934808	0.469
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_021_C_Sid_yr2_R1_nof_hybridref.sam	16103603	42455	9066711	7036892	4257827	2779065	7027250	0.436
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_022_La_Sid_yr2_R1_nof_hybridref.sam	17535786	39413	10040683	7495103	4529667	2965436	7479569	0.427
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_024_C_Sid_yr2_R1_nof_hybridref.sam	19877450	18345	10913795	8963655	5375730	3587925	8949746	0.450
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_025_La_Sid_yr2_R1_nof_hybridref.sam	19807274	37622	12139751	7667523	4923534	2743989	7640601	0.386
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_026_N_Sid_yr2_R1_nof_hybridref.sam	13391174	4341	10159492	3231682	1970925	1260757	3228323	0.241
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_027_C_Sid_yr2_R1_nof_hybridref.sam	23384258	40122	12239898	11144360	7745082	3399278	11125610	0.476
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_029_N_Sid_yr2_R1_nof_hybridref.sam	33473117	22816	24065590	9407527	6267327	3140200	9358966	0.280
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_030_C_Sid_yr2_R1_nof_hybridref.sam	26745362	34581	15176420	11568942	7320091	4248851	11556241	0.432
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref_final/R_031_La_Sid_yr2_R1_nof_hybridref.sam	28410946	30389	17311958	11098988	7101835	3997153	11076630	0.390
