"","gene","module"
"291","Siderastrea_Mexico_Barshis-Radice_Host_contig15346","midnightblue"
"292","Siderastrea_Mexico_Barshis-Radice_Host_contig15419","midnightblue"
"293","Siderastrea_Mexico_Barshis-Radice_Host_contig15435","midnightblue"
"294","Siderastrea_Mexico_Barshis-Radice_Host_contig15466","midnightblue"
"295","Siderastrea_Mexico_Barshis-Radice_Host_contig15560","midnightblue"
"296","Siderastrea_Mexico_Barshis-Radice_Host_contig15619","midnightblue"
"297","Siderastrea_Mexico_Barshis-Radice_Host_contig15646","midnightblue"
"298","Siderastrea_Mexico_Barshis-Radice_Host_contig15785","midnightblue"
"299","Siderastrea_Mexico_Barshis-Radice_Host_contig15803","midnightblue"
"300","Siderastrea_Mexico_Barshis-Radice_Host_contig15825","midnightblue"
"301","Siderastrea_Mexico_Barshis-Radice_Host_contig15865","midnightblue"
"302","Siderastrea_Mexico_Barshis-Radice_Host_contig15931","midnightblue"
"303","Siderastrea_Mexico_Barshis-Radice_Host_contig16030","midnightblue"
"304","Siderastrea_Mexico_Barshis-Radice_Host_contig16246","midnightblue"
"305","Siderastrea_Mexico_Barshis-Radice_Host_contig16254","midnightblue"
"306","Siderastrea_Mexico_Barshis-Radice_Host_contig16270","midnightblue"
"307","Siderastrea_Mexico_Barshis-Radice_Host_contig16273","midnightblue"
"308","Siderastrea_Mexico_Barshis-Radice_Host_contig16289","midnightblue"
"309","Siderastrea_Mexico_Barshis-Radice_Host_contig16353","midnightblue"
"310","Siderastrea_Mexico_Barshis-Radice_Host_contig16387","midnightblue"
"311","Siderastrea_Mexico_Barshis-Radice_Host_contig16438","midnightblue"
"312","Siderastrea_Mexico_Barshis-Radice_Host_contig16446","midnightblue"
"313","Siderastrea_Mexico_Barshis-Radice_Host_contig16482","midnightblue"
"314","Siderastrea_Mexico_Barshis-Radice_Host_contig16518","midnightblue"
"315","Siderastrea_Mexico_Barshis-Radice_Host_contig16537","midnightblue"
"316","Siderastrea_Mexico_Barshis-Radice_Host_contig16571","midnightblue"
"317","Siderastrea_Mexico_Barshis-Radice_Host_contig16580","midnightblue"
"318","Siderastrea_Mexico_Barshis-Radice_Host_contig16644","midnightblue"
"319","Siderastrea_Mexico_Barshis-Radice_Host_contig16772","midnightblue"
"320","Siderastrea_Mexico_Barshis-Radice_Host_contig16936","midnightblue"
"321","Siderastrea_Mexico_Barshis-Radice_Host_contig16958","midnightblue"
"322","Siderastrea_Mexico_Barshis-Radice_Host_contig17029","midnightblue"
"323","Siderastrea_Mexico_Barshis-Radice_Host_contig17198","midnightblue"
"324","Siderastrea_Mexico_Barshis-Radice_Host_contig17227","midnightblue"
"325","Siderastrea_Mexico_Barshis-Radice_Host_contig17339","midnightblue"
"326","Siderastrea_Mexico_Barshis-Radice_Host_contig17366","midnightblue"
"327","Siderastrea_Mexico_Barshis-Radice_Host_contig17855","midnightblue"
"328","Siderastrea_Mexico_Barshis-Radice_Host_contig18051","midnightblue"
"329","Siderastrea_Mexico_Barshis-Radice_Host_contig18066","midnightblue"
"330","Siderastrea_Mexico_Barshis-Radice_Host_contig18151","midnightblue"
"331","Siderastrea_Mexico_Barshis-Radice_Host_contig18162","midnightblue"
"332","Siderastrea_Mexico_Barshis-Radice_Host_contig18203","midnightblue"
"333","Siderastrea_Mexico_Barshis-Radice_Host_contig18229","midnightblue"
"334","Siderastrea_Mexico_Barshis-Radice_Host_contig18274","midnightblue"
"335","Siderastrea_Mexico_Barshis-Radice_Host_contig18538","midnightblue"
"336","Siderastrea_Mexico_Barshis-Radice_Host_contig18584","midnightblue"
"337","Siderastrea_Mexico_Barshis-Radice_Host_contig18812","midnightblue"
"338","Siderastrea_Mexico_Barshis-Radice_Host_contig19094","midnightblue"
"339","Siderastrea_Mexico_Barshis-Radice_Host_contig19109","midnightblue"
"340","Siderastrea_Mexico_Barshis-Radice_Host_contig19143","midnightblue"
"341","Siderastrea_Mexico_Barshis-Radice_Host_contig19174","midnightblue"
"342","Siderastrea_Mexico_Barshis-Radice_Host_contig19243","midnightblue"
"343","Siderastrea_Mexico_Barshis-Radice_Host_contig00067","tan"
"344","Siderastrea_Mexico_Barshis-Radice_Host_contig00258","tan"
"345","Siderastrea_Mexico_Barshis-Radice_Host_contig00450","tan"
"346","Siderastrea_Mexico_Barshis-Radice_Host_contig00551","tan"
"347","Siderastrea_Mexico_Barshis-Radice_Host_contig00596","tan"
"348","Siderastrea_Mexico_Barshis-Radice_Host_contig00598","tan"
"349","Siderastrea_Mexico_Barshis-Radice_Host_contig00736","tan"
"350","Siderastrea_Mexico_Barshis-Radice_Host_contig01297","tan"
"351","Siderastrea_Mexico_Barshis-Radice_Host_contig01396","tan"
"352","Siderastrea_Mexico_Barshis-Radice_Host_contig01419","tan"
"353","Siderastrea_Mexico_Barshis-Radice_Host_contig01421","tan"
"354","Siderastrea_Mexico_Barshis-Radice_Host_contig01452","tan"
"355","Siderastrea_Mexico_Barshis-Radice_Host_contig02006","tan"
"356","Siderastrea_Mexico_Barshis-Radice_Host_contig02124","tan"
"357","Siderastrea_Mexico_Barshis-Radice_Host_contig02146","tan"
"358","Siderastrea_Mexico_Barshis-Radice_Host_contig02147","tan"
"359","Siderastrea_Mexico_Barshis-Radice_Host_contig02348","tan"
"360","Siderastrea_Mexico_Barshis-Radice_Host_contig02454","tan"
"361","Siderastrea_Mexico_Barshis-Radice_Host_contig02909","tan"
"362","Siderastrea_Mexico_Barshis-Radice_Host_contig03336","tan"
