"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"330","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12192"
"331","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12309"
"332","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12324"
"333","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12352"
"334","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12428"
"335","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12485"
"336","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12486"
"337","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12516"
"338","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12578"
"339","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12589"
"340","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12597"
"341","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12735"
"342","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12743"
"343","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12805"
"344","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12809"
"345","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12848"
