"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"178","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06160"
"179","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06304"
"180","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06327"
"181","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06379"
"182","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06417"
"183","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06593"
"184","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06628"
"185","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06631"
"186","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06670"
"187","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06723"
"188","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06745"
"189","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06777"
"190","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06827"
"191","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07112"
"192","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07125"
"193","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07230"
"194","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07259"
"195","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07304"
"196","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07324"
"197","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07342"
"198","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07380"
"199","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07397"
"200","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07531"
"201","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07537"
"202","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07590"
